681	0007	0020	7	32
682	fffe	ffff	-2	-1
683	fffd	0002	-3	2
684	0002	fffd	2	-3
685	fffd	0001	-3	1
686	fffd	fffd	-3	-3
687	fffe	ffff	-2	-1
688	ffa5	00af	-91	175
689	ffea	ff83	-22	-125
690	fffe	ffff	-2	-1
691	fffe	0001	-2	1
692	ffff	fffc	-1	-4
693	fffd	0002	-3	2
694	fffe	fffe	-2	-2
695	fffd	0000	-3	0
696	ffa1	ff2a	-95	-214
697	0004	0001	4	1
698	fffe	0000	-2	0
699	fffe	0001	-2	1
700	ffff	fffa	-1	-6
701	fffd	0002	-3	2
702	fffe	fffe	-2	-2
703	fffd	0000	-3	0
704	ed65	fcbc	-4763	-836
705	0355	0115	853	277
706	fffd	0000	-3	0
707	fffd	0001	-3	1
708	fffd	fffd	-3	-3
709	fffd	0006	-3	6
710	fffe	ffff	-2	-1
711	fffc	0000	-4	0
712	0009	fff0	9	-16
713	ffd9	0058	-39	88
714	fffe	ffff	-2	-1
715	fffe	0001	-2	1
716	fffc	fffc	-4	-4
717	fffc	0003	-4	3
718	fffe	fffe	-2	-2
719	fffd	ffff	-3	-1
720	0005	0103	5	259
721	ff76	0087	-138	135
722	fffd	0000	-3	0
723	fffe	0002	-2	2
724	fffe	fffe	-2	-2
725	fffa	0002	-6	2
726	fffe	fffe	-2	-2
727	fffd	ffff	-3	-1
728	ffdc	0043	-36	67
729	fff6	003b	-10	59
730	fffe	ffff	-2	-1
731	fffe	0001	-2	1
732	fff0	fff4	-16	-12
733	fffd	0002	-3	2
734	fffe	0000	-2	0
735	fffe	0000	-2	0
736	ffc2	f9ee	-62	-1554
737	003b	fe39	59	-455
738	fffe	0000	-2	0
739	fffd	0001	-3	1
740	fffe	fffd	-2	-3
741	0004	0008	4	8
742	fffd	ffff	-3	-1
743	fffc	0000	-4	0
744	000d	ffed	13	-19
745	ffcc	ff8f	-52	-113
746	fffd	ffff	-3	-1
747	fffd	0000	-3	0
748	fffe	fffb	-2	-5
749	fffc	0001	-4	1
750	fffe	fffe	-2	-2
751	fffd	0000	-3	0
752	ff89	ff95	-119	-107
753	ff48	003c	-184	60
754	fffe	0000	-2	0
755	fffd	0001	-3	1
756	0000	fffb	0	-5
757	fffd	0003	-3	3
758	fffc	fffe	-4	-2
759	fffc	0000	-4	0
760	0099	006b	153	107
761	ffff	0005	-1	5
762	fffd	ffff	-3	-1
763	fffd	0001	-3	1
764	0005	fffd	5	-3
765	fffc	0002	-4	2
766	ffff	fffe	-1	-2
767	fffc	0000	-4	0
768	017b	ffbc	379	-68
769	017a	0040	378	64
770	fffe	0000	-2	0
771	ffff	0002	-1	2
772	fffd	fffd	-3	-3
773	0006	0002	6	2
774	fffe	fffe	-2	-2
775	fffd	0001	-3	1
776	0000	fffa	0	-6
777	009a	ff91	154	-111
778	fffe	ffff	-2	-1
779	fffc	0002	-4	2
780	fffe	fffc	-2	-4
781	0000	0004	0	4
782	fffd	ffff	-3	-1
783	fffd	0000	-3	0
784	ff4a	ffc2	-182	-62
785	ff88	0069	-120	105
786	fffe	0000	-2	0
787	fffe	0002	-2	2
788	fffe	fffe	-2	-2
789	fffd	0003	-3	3
790	fffe	ffff	-2	-1
791	fffd	0000	-3	0
792	ffcd	006d	-51	109
793	000d	0011	13	17
794	fffe	ffff	-2	-1
795	fffd	0001	-3	1
796	0004	fff6	4	-10
797	fffc	0002	-4	2
798	fffd	fffe	-3	-2
799	fffd	ffff	-3	-1
800	003b	01c3	59	451
801	ffc1	0610	-63	1552
802	fffe	0000	-2	0
803	fffe	ffff	-2	-1
804	fffe	fffd	-2	-3
805	ffef	000c	-17	12
806	fffe	ffff	-2	-1
807	fffd	0000	-3	0
808	fff7	ffc3	-9	-61
809	ffdc	ffb9	-36	-71
810	fffe	ffff	-2	-1
811	fffe	0001	-2	1
812	fffb	fffd	-5	-3
813	fffd	0001	-3	1
814	fffe	fffe	-2	-2
815	fffd	0001	-3	1
816	ff77	ff77	-137	-137
817	0005	fef9	5	-263
818	fffe	ffff	-2	-1
819	fffe	0001	-2	1
820	fffe	fffb	-2	-5
821	fffb	0003	-5	3
822	fffd	0000	-3	0
823	fffd	0001	-3	1
824	ffda	ffa6	-38	-90
825	0009	000e	9	14
826	fffd	ffff	-3	-1
827	fffd	0001	-3	1
828	fffe	fff9	-2	-7
829	fffc	0002	-4	2
830	fffe	ffff	-2	-1
831	fffc	ffff	-4	-1
832	0355	fee8	853	-280
833	ed64	0341	-4764	833
834	fffe	0000	-2	0
835	fffe	0002	-2	2
836	fffe	fffd	-2	-3
837	fffd	0005	-3	5
838	fffe	fffe	-2	-2
839	fffd	ffff	-3	-1
840	0003	fffd	3	-3
841	ff9f	00d3	-97	211
842	fffe	ffff	-2	-1
843	fffd	0001	-3	1
844	fffe	fffc	-2	-4
845	fffe	0002	-2	2
846	fffe	fffe	-2	-2
847	fffd	ffff	-3	-1
848	ffeb	0079	-21	121
849	ffa4	ff4c	-92	-180
850	fffe	ffff	-2	-1
851	fffd	0002	-3	2
852	fffe	fffe	-2	-2
853	0002	0003	2	3
854	fffd	fffe	-3	-2
855	fffd	0000	-3	0
856	0006	ffde	6	-34
857	ffe6	fff2	-26	-14
858	fffd	ffff	-3	-1
859	fffd	0000	-3	0
860	fffc	0000	-4	0
861	fffd	0001	-3	1
862	fffe	fffe	-2	-2
863	fffb	ffff	-5	-1
864	008f	0364	143	868
865	0049	ff39	73	-199
866	fffe	0000	-2	0
867	fffd	0001	-3	1
868	0000	fffd	0	-3
869	fffe	0002	-2	2
870	fffd	fffe	-3	-2
871	fffd	ffff	-3	-1
872	ff86	0000	-122	0
873	0027	0023	39	35
874	fffd	ffff	-3	-1
875	fffd	0000	-3	0
876	ffff	fffb	-1	-5
877	fffd	0002	-3	2
878	fffe	fffe	-2	-2
879	fffd	0000	-3	0
880	fe3a	ffa0	-454	-96
881	ffe6	0021	-26	33
882	fffd	ffff	-3	-1
883	fffd	0000	-3	0
884	fffe	fffc	-2	-4
885	fffe	0003	-2	3
886	fffe	fffe	-2	-2
887	fffd	0000	-3	0
888	ffd1	ffdf	-47	-33
889	fffb	0001	-5	1
890	fffd	ffff	-3	-1
891	fffd	0001	-3	1
892	fffe	fff8	-2	-8
893	fffc	0001	-4	1
894	fffe	fffe	-2	-2
895	fffc	ffff	-4	-1
896	02a7	ff61	679	-159
897	fd24	00a6	-732	166
898	fffd	ffff	-3	-1
899	fffd	0001	-3	1
900	fffe	fffd	-2	-3
901	fff1	000d	-15	13
902	fffe	ffff	-2	-1
903	fffe	0000	-2	0
904	fffe	fffd	-2	-3
905	ffe1	0046	-31	70
906	fffe	0000	-2	0
907	fffd	0001	-3	1
908	fffe	fffc	-2	-4
909	fffd	0004	-3	4
910	fffe	ffff	-2	-1
911	fffe	0000	-2	0
912	fee4	ff67	-284	-153
913	0263	ff17	611	-233
914	fffd	ffff	-3	-1
915	fffd	0002	-3	2
916	fffe	fffb	-2	-5
917	fffe	0003	-2	3
918	fffd	ffff	-3	-1
919	fffe	0000	-2	0
920	ff44	ff82	-188	-126
921	ffe7	0008	-25	8
922	fffe	ffff	-2	-1
923	fffd	0001	-3	1
924	0000	fffc	0	-4
925	fffd	0001	-3	1
926	fffd	fffe	-3	-2
927	fffc	ffff	-4	-1
928	0104	05ec	260	1516
929	fff7	00ff	-9	255
930	fffe	0000	-2	0
931	fffc	0002	-4	2
932	fffe	fffd	-2	-3
933	0000	0002	0	2
934	ffff	fffe	-1	-2
935	fffd	0000	-3	0
936	ffff	000b	-1	11
937	ffdf	006a	-33	106
938	fffe	ffff	-2	-1
939	fffd	0001	-3	1
940	ffff	fffa	-1	-6
941	fffb	0001	-5	1
942	fffd	fffe	-3	-2
943	fffc	ffff	-4	-1
